Sexo;Comunidad autónoma (1);Familia profesional (2);Total
AMBOS SEXOS;Asturias, Principado de;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Asturias, Principado de;COMERCIO Y MARKETING;81,9
AMBOS SEXOS;Asturias, Principado de;EDIFICACIÓN Y OBRA CIVIL;68,3
AMBOS SEXOS;Asturias, Principado de;ELECTRICIDAD Y ELECTRÓNICA;75,1
AMBOS SEXOS;Asturias, Principado de;ENERGÍA Y AGUA;80,0
AMBOS SEXOS;Asturias, Principado de;FABRICACIÓN MECÁNICA;71,3
AMBOS SEXOS;Asturias, Principado de;HOSTELERÍA Y TURISMO;79,5
AMBOS SEXOS;Asturias, Principado de;IMAGEN PERSONAL;82,4
AMBOS SEXOS;Asturias, Principado de;IMAGEN Y SONIDO;80,5
AMBOS SEXOS;Asturias, Principado de;INDUSTRIAS ALIMENTARIAS;85,0
AMBOS SEXOS;Asturias, Principado de;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Asturias, Principado de;INFORMÁTICA Y COMUNICACIONES;77,9
AMBOS SEXOS;Asturias, Principado de;INSTALACIÓN Y MANTENIMIENTO;77,8
AMBOS SEXOS;Asturias, Principado de;MADERA, MUEBLE Y CORCHO;.
AMBOS SEXOS;Asturias, Principado de;MARÍTIMO-PESQUERA;79,6
AMBOS SEXOS;Asturias, Principado de;QUÍMICA;80,7
AMBOS SEXOS;Asturias, Principado de;SANIDAD;92,9
AMBOS SEXOS;Asturias, Principado de;SEGURIDAD Y MEDIO AMBIENTE;86,2
AMBOS SEXOS;Asturias, Principado de;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;84,5
AMBOS SEXOS;Asturias, Principado de;TEXTIL, CONFECCIÓN Y PIEL;.
AMBOS SEXOS;Asturias, Principado de;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;78,1
AMBOS SEXOS;Asturias, Principado de;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Balears, Illes;ACTIVIDADES FÍSICAS Y DEPORTIVAS;94,3
AMBOS SEXOS;Balears, Illes;ADMINISTRACIÓN Y GESTIÓN;91,3
AMBOS SEXOS;Balears, Illes;AGRARIA;92,7
AMBOS SEXOS;Balears, Illes;ARTES GRÁFICAS;98,6
AMBOS SEXOS;Balears, Illes;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Balears, Illes;COMERCIO Y MARKETING;96,2
AMBOS SEXOS;Balears, Illes;EDIFICACIÓN Y OBRA CIVIL;87,0
AMBOS SEXOS;Balears, Illes;ELECTRICIDAD Y ELECTRÓNICA;85,6
AMBOS SEXOS;Balears, Illes;ENERGÍA Y AGUA;97,3
AMBOS SEXOS;Balears, Illes;FABRICACIÓN MECÁNICA;.
AMBOS SEXOS;Balears, Illes;HOSTELERÍA Y TURISMO;92,8
AMBOS SEXOS;Balears, Illes;IMAGEN PERSONAL;93,3
AMBOS SEXOS;Balears, Illes;IMAGEN Y SONIDO;94,5
AMBOS SEXOS;Balears, Illes;INDUSTRIAS ALIMENTARIAS;87,2
AMBOS SEXOS;Balears, Illes;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Balears, Illes;INFORMÁTICA Y COMUNICACIONES;90,4
AMBOS SEXOS;Balears, Illes;INSTALACIÓN Y MANTENIMIENTO;91,3
AMBOS SEXOS;Balears, Illes;MADERA, MUEBLE Y CORCHO;99,1
AMBOS SEXOS;Balears, Illes;MARÍTIMO-PESQUERA;91,5
AMBOS SEXOS;Balears, Illes;QUÍMICA;86,5
AMBOS SEXOS;Balears, Illes;SANIDAD;90,4
AMBOS SEXOS;Balears, Illes;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;Balears, Illes;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;95,7
AMBOS SEXOS;Balears, Illes;TEXTIL, CONFECCIÓN Y PIEL;.
AMBOS SEXOS;Balears, Illes;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;90,9
AMBOS SEXOS;Balears, Illes;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Canarias;ACTIVIDADES FÍSICAS Y DEPORTIVAS;88,5
AMBOS SEXOS;Canarias;ADMINISTRACIÓN Y GESTIÓN;88,0
AMBOS SEXOS;Canarias;AGRARIA;82,4
AMBOS SEXOS;Canarias;ARTES GRÁFICAS;79,4
AMBOS SEXOS;Canarias;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Canarias;COMERCIO Y MARKETING;91,5
AMBOS SEXOS;Canarias;EDIFICACIÓN Y OBRA CIVIL;83,4
AMBOS SEXOS;Canarias;ELECTRICIDAD Y ELECTRÓNICA;85,2
AMBOS SEXOS;Canarias;ENERGÍA Y AGUA;87,8
AMBOS SEXOS;Canarias;FABRICACIÓN MECÁNICA;75,1
AMBOS SEXOS;Canarias;HOSTELERÍA Y TURISMO;86,0
AMBOS SEXOS;Canarias;IMAGEN PERSONAL;93,2
AMBOS SEXOS;Canarias;IMAGEN Y SONIDO;89,6
AMBOS SEXOS;Canarias;INDUSTRIAS ALIMENTARIAS;83,9
AMBOS SEXOS;Canarias;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Canarias;INFORMÁTICA Y COMUNICACIONES;77,3
AMBOS SEXOS;Canarias;INSTALACIÓN Y MANTENIMIENTO;81,3
AMBOS SEXOS;Canarias;MADERA, MUEBLE Y CORCHO;80,7
AMBOS SEXOS;Canarias;MARÍTIMO-PESQUERA;89,2
AMBOS SEXOS;Canarias;QUÍMICA;89,8
AMBOS SEXOS;Canarias;SANIDAD;95,1
AMBOS SEXOS;Canarias;SEGURIDAD Y MEDIO AMBIENTE;87,4
AMBOS SEXOS;Canarias;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;93,7
AMBOS SEXOS;Canarias;TEXTIL, CONFECCIÓN Y PIEL;89,3
AMBOS SEXOS;Canarias;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;86,5
AMBOS SEXOS;Canarias;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Cantabria;ACTIVIDADES FÍSICAS Y DEPORTIVAS;94,9
AMBOS SEXOS;Cantabria;ADMINISTRACIÓN Y GESTIÓN;95,3
AMBOS SEXOS;Cantabria;AGRARIA;84,7
AMBOS SEXOS;Cantabria;ARTES GRÁFICAS;94,3
AMBOS SEXOS;Cantabria;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Cantabria;COMERCIO Y MARKETING;94,8
AMBOS SEXOS;Cantabria;EDIFICACIÓN Y OBRA CIVIL;91,1
AMBOS SEXOS;Cantabria;ELECTRICIDAD Y ELECTRÓNICA;85,5
AMBOS SEXOS;Cantabria;ENERGÍA Y AGUA;94,8
AMBOS SEXOS;Cantabria;FABRICACIÓN MECÁNICA;89,8
AMBOS SEXOS;Cantabria;HOSTELERÍA Y TURISMO;90,4
AMBOS SEXOS;Cantabria;IMAGEN PERSONAL;91,2
AMBOS SEXOS;Cantabria;IMAGEN Y SONIDO;89,9
AMBOS SEXOS;Cantabria;INDUSTRIAS ALIMENTARIAS;85,1
AMBOS SEXOS;Cantabria;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Cantabria;INFORMÁTICA Y COMUNICACIONES;87,3
AMBOS SEXOS;Cantabria;INSTALACIÓN Y MANTENIMIENTO;93,8
AMBOS SEXOS;Cantabria;MADERA, MUEBLE Y CORCHO;93,3
AMBOS SEXOS;Cantabria;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Cantabria;QUÍMICA;97,6
AMBOS SEXOS;Cantabria;SANIDAD;96,4
AMBOS SEXOS;Cantabria;SEGURIDAD Y MEDIO AMBIENTE;93,9
AMBOS SEXOS;Cantabria;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;96,5
AMBOS SEXOS;Cantabria;TEXTIL, CONFECCIÓN Y PIEL;.
AMBOS SEXOS;Cantabria;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;87,9
AMBOS SEXOS;Cantabria;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Castilla y León;ACTIVIDADES FÍSICAS Y DEPORTIVAS;86,2
AMBOS SEXOS;Castilla y León;ADMINISTRACIÓN Y GESTIÓN;83,2
AMBOS SEXOS;Castilla y León;AGRARIA;86,5
AMBOS SEXOS;Castilla y León;ARTES GRÁFICAS;78,9
AMBOS SEXOS;Castilla y León;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Castilla y León;COMERCIO Y MARKETING;78,6
AMBOS SEXOS;Castilla y León;EDIFICACIÓN Y OBRA CIVIL;63,5
AMBOS SEXOS;Castilla y León;ELECTRICIDAD Y ELECTRÓNICA;77,5
AMBOS SEXOS;Castilla y León;ENERGÍA Y AGUA;85,8
AMBOS SEXOS;Castilla y León;FABRICACIÓN MECÁNICA;76,9
AMBOS SEXOS;Castilla y León;HOSTELERÍA Y TURISMO;76,9
AMBOS SEXOS;Castilla y León;IMAGEN PERSONAL;85,2
AMBOS SEXOS;Castilla y León;IMAGEN Y SONIDO;84,2
AMBOS SEXOS;Castilla y León;INDUSTRIAS ALIMENTARIAS;79,1
AMBOS SEXOS;Castilla y León;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Castilla y León;INFORMÁTICA Y COMUNICACIONES;77,7
AMBOS SEXOS;Castilla y León;INSTALACIÓN Y MANTENIMIENTO;85,8
AMBOS SEXOS;Castilla y León;MADERA, MUEBLE Y CORCHO;74,3
AMBOS SEXOS;Castilla y León;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Castilla y León;QUÍMICA;77,5
AMBOS SEXOS;Castilla y León;SANIDAD;84,3
AMBOS SEXOS;Castilla y León;SEGURIDAD Y MEDIO AMBIENTE;76,7
AMBOS SEXOS;Castilla y León;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;89,5
AMBOS SEXOS;Castilla y León;TEXTIL, CONFECCIÓN Y PIEL;90,5
AMBOS SEXOS;Castilla y León;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;90,5
AMBOS SEXOS;Castilla y León;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Castilla.La Mancha;ACTIVIDADES FÍSICAS Y DEPORTIVAS;97,7
AMBOS SEXOS;Castilla.La Mancha;ADMINISTRACIÓN Y GESTIÓN;97,3
AMBOS SEXOS;Castilla.La Mancha;AGRARIA;97,4
AMBOS SEXOS;Castilla.La Mancha;ARTES GRÁFICAS;.
AMBOS SEXOS;Castilla.La Mancha;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Castilla.La Mancha;COMERCIO Y MARKETING;98,2
AMBOS SEXOS;Castilla.La Mancha;EDIFICACIÓN Y OBRA CIVIL;95,3
AMBOS SEXOS;Castilla.La Mancha;ELECTRICIDAD Y ELECTRÓNICA;97,3
AMBOS SEXOS;Castilla.La Mancha;ENERGÍA Y AGUA;98,7
AMBOS SEXOS;Castilla.La Mancha;FABRICACIÓN MECÁNICA;98,7
AMBOS SEXOS;Castilla.La Mancha;HOSTELERÍA Y TURISMO;97,9
AMBOS SEXOS;Castilla.La Mancha;IMAGEN PERSONAL;98,6
AMBOS SEXOS;Castilla.La Mancha;IMAGEN Y SONIDO;93,3
AMBOS SEXOS;Castilla.La Mancha;INDUSTRIAS ALIMENTARIAS;97,5
AMBOS SEXOS;Castilla.La Mancha;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Castilla.La Mancha;INFORMÁTICA Y COMUNICACIONES;96,8
AMBOS SEXOS;Castilla.La Mancha;INSTALACIÓN Y MANTENIMIENTO;98,5
AMBOS SEXOS;Castilla.La Mancha;MADERA, MUEBLE Y CORCHO;86,6
AMBOS SEXOS;Castilla.La Mancha;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Castilla.La Mancha;QUÍMICA;98,5
AMBOS SEXOS;Castilla.La Mancha;SANIDAD;98,4
AMBOS SEXOS;Castilla.La Mancha;SEGURIDAD Y MEDIO AMBIENTE;98,1
AMBOS SEXOS;Castilla.La Mancha;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;97,6
AMBOS SEXOS;Castilla.La Mancha;TEXTIL, CONFECCIÓN Y PIEL;95,9
AMBOS SEXOS;Castilla.La Mancha;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;96,9
AMBOS SEXOS;Castilla.La Mancha;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Cataluña;ACTIVIDADES FÍSICAS Y DEPORTIVAS;..
AMBOS SEXOS;Cataluña;ADMINISTRACIÓN Y GESTIÓN;..
AMBOS SEXOS;Cataluña;AGRARIA;..
AMBOS SEXOS;Cataluña;ARTES GRÁFICAS;..
AMBOS SEXOS;Cataluña;ARTES Y ARTESANÍAS;..
AMBOS SEXOS;Cataluña;COMERCIO Y MARKETING;..
AMBOS SEXOS;Cataluña;EDIFICACIÓN Y OBRA CIVIL;..
AMBOS SEXOS;Cataluña;ELECTRICIDAD Y ELECTRÓNICA;..
AMBOS SEXOS;Cataluña;ENERGÍA Y AGUA;..
AMBOS SEXOS;Cataluña;FABRICACIÓN MECÁNICA;..
AMBOS SEXOS;Cataluña;HOSTELERÍA Y TURISMO;..
AMBOS SEXOS;Cataluña;IMAGEN PERSONAL;..
AMBOS SEXOS;Cataluña;IMAGEN Y SONIDO;..
AMBOS SEXOS;Cataluña;INDUSTRIAS ALIMENTARIAS;..
AMBOS SEXOS;Cataluña;INDUSTRIAS EXTRACTIVAS;..
AMBOS SEXOS;Cataluña;INFORMÁTICA Y COMUNICACIONES;..
AMBOS SEXOS;Cataluña;INSTALACIÓN Y MANTENIMIENTO;..
AMBOS SEXOS;Cataluña;MADERA, MUEBLE Y CORCHO;..
AMBOS SEXOS;Cataluña;MARÍTIMO-PESQUERA;..
AMBOS SEXOS;Cataluña;QUÍMICA;..
AMBOS SEXOS;Cataluña;SANIDAD;..
AMBOS SEXOS;Cataluña;SEGURIDAD Y MEDIO AMBIENTE;..
AMBOS SEXOS;Cataluña;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;..
AMBOS SEXOS;Cataluña;TEXTIL, CONFECCIÓN Y PIEL;..
AMBOS SEXOS;Cataluña;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;..
AMBOS SEXOS;Cataluña;VIDRIO Y CERÁMICA;..
AMBOS SEXOS;Comunitat Valenciana;ACTIVIDADES FÍSICAS Y DEPORTIVAS;90,7
AMBOS SEXOS;Comunitat Valenciana;ADMINISTRACIÓN Y GESTIÓN;79,0
AMBOS SEXOS;Comunitat Valenciana;AGRARIA;74,3
AMBOS SEXOS;Comunitat Valenciana;ARTES GRÁFICAS;77,0
AMBOS SEXOS;Comunitat Valenciana;ARTES Y ARTESANÍAS;78,8
AMBOS SEXOS;Comunitat Valenciana;COMERCIO Y MARKETING;79,0
AMBOS SEXOS;Comunitat Valenciana;EDIFICACIÓN Y OBRA CIVIL;64,9
AMBOS SEXOS;Comunitat Valenciana;ELECTRICIDAD Y ELECTRÓNICA;70,2
AMBOS SEXOS;Comunitat Valenciana;ENERGÍA Y AGUA;65,4
AMBOS SEXOS;Comunitat Valenciana;FABRICACIÓN MECÁNICA;73,1
AMBOS SEXOS;Comunitat Valenciana;HOSTELERÍA Y TURISMO;71,9
AMBOS SEXOS;Comunitat Valenciana;IMAGEN PERSONAL;78,9
AMBOS SEXOS;Comunitat Valenciana;IMAGEN Y SONIDO;81,4
AMBOS SEXOS;Comunitat Valenciana;INDUSTRIAS ALIMENTARIAS;76,5
AMBOS SEXOS;Comunitat Valenciana;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Comunitat Valenciana;INFORMÁTICA Y COMUNICACIONES;70,6
AMBOS SEXOS;Comunitat Valenciana;INSTALACIÓN Y MANTENIMIENTO;74,7
AMBOS SEXOS;Comunitat Valenciana;MADERA, MUEBLE Y CORCHO;60,1
AMBOS SEXOS;Comunitat Valenciana;MARÍTIMO-PESQUERA;79,0
AMBOS SEXOS;Comunitat Valenciana;QUÍMICA;77,2
AMBOS SEXOS;Comunitat Valenciana;SANIDAD;84,9
AMBOS SEXOS;Comunitat Valenciana;SEGURIDAD Y MEDIO AMBIENTE;78,8
AMBOS SEXOS;Comunitat Valenciana;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;79,9
AMBOS SEXOS;Comunitat Valenciana;TEXTIL, CONFECCIÓN Y PIEL;72,6
AMBOS SEXOS;Comunitat Valenciana;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;73,6
AMBOS SEXOS;Comunitat Valenciana;VIDRIO Y CERÁMICA;67,7
AMBOS SEXOS;Extremadura;ACTIVIDADES FÍSICAS Y DEPORTIVAS;89,6
AMBOS SEXOS;Extremadura;ADMINISTRACIÓN Y GESTIÓN;86,5
AMBOS SEXOS;Extremadura;AGRARIA;89,7
AMBOS SEXOS;Extremadura;ARTES GRÁFICAS;77,2
AMBOS SEXOS;Extremadura;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Extremadura;COMERCIO Y MARKETING;89,1
AMBOS SEXOS;Extremadura;EDIFICACIÓN Y OBRA CIVIL;72,5
AMBOS SEXOS;Extremadura;ELECTRICIDAD Y ELECTRÓNICA;78,1
AMBOS SEXOS;Extremadura;ENERGÍA Y AGUA;82,2
AMBOS SEXOS;Extremadura;FABRICACIÓN MECÁNICA;93,8
AMBOS SEXOS;Extremadura;HOSTELERÍA Y TURISMO;81,5
AMBOS SEXOS;Extremadura;IMAGEN PERSONAL;91,4
AMBOS SEXOS;Extremadura;IMAGEN Y SONIDO;79,3
AMBOS SEXOS;Extremadura;INDUSTRIAS ALIMENTARIAS;87,4
AMBOS SEXOS;Extremadura;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Extremadura;INFORMÁTICA Y COMUNICACIONES;76,0
AMBOS SEXOS;Extremadura;INSTALACIÓN Y MANTENIMIENTO;71,5
AMBOS SEXOS;Extremadura;MADERA, MUEBLE Y CORCHO;71,8
AMBOS SEXOS;Extremadura;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Extremadura;QUÍMICA;77,5
AMBOS SEXOS;Extremadura;SANIDAD;91,8
AMBOS SEXOS;Extremadura;SEGURIDAD Y MEDIO AMBIENTE;98,5
AMBOS SEXOS;Extremadura;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;93,6
AMBOS SEXOS;Extremadura;TEXTIL, CONFECCIÓN Y PIEL;95,9
AMBOS SEXOS;Extremadura;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;85,3
AMBOS SEXOS;Extremadura;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Galicia;ACTIVIDADES FÍSICAS Y DEPORTIVAS;92,8
AMBOS SEXOS;Galicia;ADMINISTRACIÓN Y GESTIÓN;82,7
AMBOS SEXOS;Galicia;AGRARIA;88,6
AMBOS SEXOS;Galicia;ARTES GRÁFICAS;88,5
AMBOS SEXOS;Galicia;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Galicia;COMERCIO Y MARKETING;88,2
AMBOS SEXOS;Galicia;EDIFICACIÓN Y OBRA CIVIL;74,2
AMBOS SEXOS;Galicia;ELECTRICIDAD Y ELECTRÓNICA;81,7
AMBOS SEXOS;Galicia;ENERGÍA Y AGUA;80,2
AMBOS SEXOS;Galicia;FABRICACIÓN MECÁNICA;82,1
AMBOS SEXOS;Galicia;HOSTELERÍA Y TURISMO;86,4
AMBOS SEXOS;Galicia;IMAGEN PERSONAL;85,5
AMBOS SEXOS;Galicia;IMAGEN Y SONIDO;87,6
AMBOS SEXOS;Galicia;INDUSTRIAS ALIMENTARIAS;74,1
AMBOS SEXOS;Galicia;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Galicia;INFORMÁTICA Y COMUNICACIONES;78,8
AMBOS SEXOS;Galicia;INSTALACIÓN Y MANTENIMIENTO;85,1
AMBOS SEXOS;Galicia;MADERA, MUEBLE Y CORCHO;79,6
AMBOS SEXOS;Galicia;MARÍTIMO-PESQUERA;88,7
AMBOS SEXOS;Galicia;QUÍMICA;81,5
AMBOS SEXOS;Galicia;SANIDAD;92,7
AMBOS SEXOS;Galicia;SEGURIDAD Y MEDIO AMBIENTE;85,1
AMBOS SEXOS;Galicia;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;94,0
AMBOS SEXOS;Galicia;TEXTIL, CONFECCIÓN Y PIEL;85,8
AMBOS SEXOS;Galicia;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;88,9
AMBOS SEXOS;Galicia;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Madrid, Comunidad de;ACTIVIDADES FÍSICAS Y DEPORTIVAS;88,7
AMBOS SEXOS;Madrid, Comunidad de;ADMINISTRACIÓN Y GESTIÓN;80,4
AMBOS SEXOS;Madrid, Comunidad de;AGRARIA;65,9
AMBOS SEXOS;Madrid, Comunidad de;ARTES GRÁFICAS;92,1
AMBOS SEXOS;Madrid, Comunidad de;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Madrid, Comunidad de;COMERCIO Y MARKETING;84,7
AMBOS SEXOS;Madrid, Comunidad de;EDIFICACIÓN Y OBRA CIVIL;77,0
AMBOS SEXOS;Madrid, Comunidad de;ELECTRICIDAD Y ELECTRÓNICA;83,3
