Sexo;Comunidad autónoma (1);Familia profesional (2);Total
AMBOS SEXOS;Principado de Asturias;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;79,7
AMBOS SEXOS;Principado de Asturias;TEXTIL, CONFECCIÓN Y PIEL;62,4
AMBOS SEXOS;Principado de Asturias;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;69,6
AMBOS SEXOS;Principado de Asturias;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Islas Baleares;ACTIVIDADES FÍSICAS Y DEPORTIVAS;86,5
AMBOS SEXOS;Islas Baleares;ADMINISTRACIÓN Y GESTIÓN;82,8
AMBOS SEXOS;Islas Baleares;AGRARIA;81,5
AMBOS SEXOS;Islas Baleares;ARTES GRÁFICAS;88,9
AMBOS SEXOS;Islas Baleares;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Islas Baleares;COMERCIO Y MARKETING;80,6
AMBOS SEXOS;Islas Baleares;EDIFICACIÓN Y OBRA CIVIL;73,5
AMBOS SEXOS;Islas Baleares;ELECTRICIDAD Y ELECTRÓNICA;75,6
AMBOS SEXOS;Islas Baleares;ENERGÍA Y AGUA;.
AMBOS SEXOS;Islas Baleares;FABRICACIÓN MECÁNICA;75,0
AMBOS SEXOS;Islas Baleares;HOSTELERÍA Y TURISMO;82,1
AMBOS SEXOS;Islas Baleares;IMAGEN PERSONAL;87,9
AMBOS SEXOS;Islas Baleares;IMAGEN Y SONIDO;88,6
AMBOS SEXOS;Islas Baleares;INDUSTRIAS ALIMENTARIAS;89,7
AMBOS SEXOS;Islas Baleares;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Islas Baleares;INFORMÁTICA Y COMUNICACIONES;85,6
AMBOS SEXOS;Islas Baleares;INSTALACIÓN Y MANTENIMIENTO;76,9
AMBOS SEXOS;Islas Baleares;MADERA, MUEBLE Y CORCHO;79,9
AMBOS SEXOS;Islas Baleares;MARÍTIMO-PESQUERA;71,2
AMBOS SEXOS;Islas Baleares;QUÍMICA;.
AMBOS SEXOS;Islas Baleares;SANIDAD;88,6
AMBOS SEXOS;Islas Baleares;SEGURIDAD Y MEDIO AMBIENTE;96,6
AMBOS SEXOS;Islas Baleares;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;93,9
AMBOS SEXOS;Islas Baleares;TEXTIL, CONFECCIÓN Y PIEL;.
AMBOS SEXOS;Islas Baleares;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;87,1
AMBOS SEXOS;Islas Baleares;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Canarias;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
AMBOS SEXOS;Canarias;ADMINISTRACIÓN Y GESTIÓN;72,4
AMBOS SEXOS;Canarias;AGRARIA;78,8
AMBOS SEXOS;Canarias;ARTES GRÁFICAS;66,6
AMBOS SEXOS;Canarias;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Canarias;COMERCIO Y MARKETING;80,7
AMBOS SEXOS;Canarias;EDIFICACIÓN Y OBRA CIVIL;75,1
AMBOS SEXOS;Canarias;ELECTRICIDAD Y ELECTRÓNICA;69,6
AMBOS SEXOS;Canarias;ENERGÍA Y AGUA;60,1
AMBOS SEXOS;Canarias;FABRICACIÓN MECÁNICA;78,2
AMBOS SEXOS;Canarias;HOSTELERÍA Y TURISMO;72,5
AMBOS SEXOS;Canarias;IMAGEN PERSONAL;74,8
AMBOS SEXOS;Canarias;IMAGEN Y SONIDO;72,3
AMBOS SEXOS;Canarias;INDUSTRIAS ALIMENTARIAS;75,1
AMBOS SEXOS;Canarias;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Canarias;INFORMÁTICA Y COMUNICACIONES;69,8
AMBOS SEXOS;Canarias;INSTALACIÓN Y MANTENIMIENTO;75,5
AMBOS SEXOS;Canarias;MADERA, MUEBLE Y CORCHO;70,7
AMBOS SEXOS;Canarias;MARÍTIMO-PESQUERA;79,6
AMBOS SEXOS;Canarias;QUÍMICA;79,9
AMBOS SEXOS;Canarias;SANIDAD;86,5
AMBOS SEXOS;Canarias;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;Canarias;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;86,3
AMBOS SEXOS;Canarias;TEXTIL, CONFECCIÓN Y PIEL;75,9
AMBOS SEXOS;Canarias;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;69,6
AMBOS SEXOS;Canarias;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Cantabria;ACTIVIDADES FÍSICAS Y DEPORTIVAS;94,1
AMBOS SEXOS;Cantabria;ADMINISTRACIÓN Y GESTIÓN;89,8
AMBOS SEXOS;Cantabria;AGRARIA;77,7
AMBOS SEXOS;Cantabria;ARTES GRÁFICAS;95,1
AMBOS SEXOS;Cantabria;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Cantabria;COMERCIO Y MARKETING;85,8
AMBOS SEXOS;Cantabria;EDIFICACIÓN Y OBRA CIVIL;93,8
AMBOS SEXOS;Cantabria;ELECTRICIDAD Y ELECTRÓNICA;81,6
AMBOS SEXOS;Cantabria;ENERGÍA Y AGUA;.
AMBOS SEXOS;Cantabria;FABRICACIÓN MECÁNICA;79,0
AMBOS SEXOS;Cantabria;HOSTELERÍA Y TURISMO;84,1
AMBOS SEXOS;Cantabria;IMAGEN PERSONAL;89,8
AMBOS SEXOS;Cantabria;IMAGEN Y SONIDO;.
AMBOS SEXOS;Cantabria;INDUSTRIAS ALIMENTARIAS;87,9
AMBOS SEXOS;Cantabria;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Cantabria;INFORMÁTICA Y COMUNICACIONES;86,1
AMBOS SEXOS;Cantabria;INSTALACIÓN Y MANTENIMIENTO;82,7
AMBOS SEXOS;Cantabria;MADERA, MUEBLE Y CORCHO;84,9
AMBOS SEXOS;Cantabria;MARÍTIMO-PESQUERA;77,9
AMBOS SEXOS;Cantabria;QUÍMICA;88,2
AMBOS SEXOS;Cantabria;SANIDAD;94,5
AMBOS SEXOS;Cantabria;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;Cantabria;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;89,6
AMBOS SEXOS;Cantabria;TEXTIL, CONFECCIÓN Y PIEL;93,4
AMBOS SEXOS;Cantabria;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;76,5
AMBOS SEXOS;Cantabria;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Castilla y León;ACTIVIDADES FÍSICAS Y DEPORTIVAS;75,4
AMBOS SEXOS;Castilla y León;ADMINISTRACIÓN Y GESTIÓN;71,7
AMBOS SEXOS;Castilla y León;AGRARIA;77,9
AMBOS SEXOS;Castilla y León;ARTES GRÁFICAS;67,4
AMBOS SEXOS;Castilla y León;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Castilla y León;COMERCIO Y MARKETING;69,8
AMBOS SEXOS;Castilla y León;EDIFICACIÓN Y OBRA CIVIL;60,9
AMBOS SEXOS;Castilla y León;ELECTRICIDAD Y ELECTRÓNICA;67,6
AMBOS SEXOS;Castilla y León;ENERGÍA Y AGUA;.
AMBOS SEXOS;Castilla y León;FABRICACIÓN MECÁNICA;72,2
AMBOS SEXOS;Castilla y León;HOSTELERÍA Y TURISMO;60,8
AMBOS SEXOS;Castilla y León;IMAGEN PERSONAL;70,6
AMBOS SEXOS;Castilla y León;IMAGEN Y SONIDO;89,4
AMBOS SEXOS;Castilla y León;INDUSTRIAS ALIMENTARIAS;80,5
AMBOS SEXOS;Castilla y León;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Castilla y León;INFORMÁTICA Y COMUNICACIONES;73,5
AMBOS SEXOS;Castilla y León;INSTALACIÓN Y MANTENIMIENTO;69,5
AMBOS SEXOS;Castilla y León;MADERA, MUEBLE Y CORCHO;72,0
AMBOS SEXOS;Castilla y León;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Castilla y León;QUÍMICA;66,1
AMBOS SEXOS;Castilla y León;SANIDAD;77,4
AMBOS SEXOS;Castilla y León;SEGURIDAD Y MEDIO AMBIENTE;79,8
AMBOS SEXOS;Castilla y León;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;83,3
AMBOS SEXOS;Castilla y León;TEXTIL, CONFECCIÓN Y PIEL;66,3
AMBOS SEXOS;Castilla y León;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;66,0
AMBOS SEXOS;Castilla y León;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Castilla La Mancha;ACTIVIDADES FÍSICAS Y DEPORTIVAS;95,8
AMBOS SEXOS;Castilla La Mancha;ADMINISTRACIÓN Y GESTIÓN;93,1
AMBOS SEXOS;Castilla La Mancha;AGRARIA;94,3
AMBOS SEXOS;Castilla La Mancha;ARTES GRÁFICAS;98,5
AMBOS SEXOS;Castilla La Mancha;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Castilla La Mancha;COMERCIO Y MARKETING;95,1
AMBOS SEXOS;Castilla La Mancha;EDIFICACIÓN Y OBRA CIVIL;98,4
AMBOS SEXOS;Castilla La Mancha;ELECTRICIDAD Y ELECTRÓNICA;93,6
AMBOS SEXOS;Castilla La Mancha;ENERGÍA Y AGUA;.
AMBOS SEXOS;Castilla La Mancha;FABRICACIÓN MECÁNICA;95,5
AMBOS SEXOS;Castilla La Mancha;HOSTELERÍA Y TURISMO;94,6
AMBOS SEXOS;Castilla La Mancha;IMAGEN PERSONAL;94,3
AMBOS SEXOS;Castilla La Mancha;IMAGEN Y SONIDO;93,2
AMBOS SEXOS;Castilla La Mancha;INDUSTRIAS ALIMENTARIAS;95,5
AMBOS SEXOS;Castilla La Mancha;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Castilla La Mancha;INFORMÁTICA Y COMUNICACIONES;93,1
AMBOS SEXOS;Castilla La Mancha;INSTALACIÓN Y MANTENIMIENTO;97,7
AMBOS SEXOS;Castilla La Mancha;MADERA, MUEBLE Y CORCHO;89,3
AMBOS SEXOS;Castilla La Mancha;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Castilla La Mancha;QUÍMICA;95,5
AMBOS SEXOS;Castilla La Mancha;SANIDAD;97,9
AMBOS SEXOS;Castilla La Mancha;SEGURIDAD Y MEDIO AMBIENTE;97,6
AMBOS SEXOS;Castilla La Mancha;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;96,1
AMBOS SEXOS;Castilla La Mancha;TEXTIL, CONFECCIÓN Y PIEL;98,6
AMBOS SEXOS;Castilla La Mancha;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;94,1
AMBOS SEXOS;Castilla La Mancha;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Cataluña;ACTIVIDADES FÍSICAS Y DEPORTIVAS;..
AMBOS SEXOS;Cataluña;ADMINISTRACIÓN Y GESTIÓN;..
AMBOS SEXOS;Cataluña;AGRARIA;..
AMBOS SEXOS;Cataluña;ARTES GRÁFICAS;..
AMBOS SEXOS;Cataluña;ARTES Y ARTESANÍAS;..
AMBOS SEXOS;Cataluña;COMERCIO Y MARKETING;..
AMBOS SEXOS;Cataluña;EDIFICACIÓN Y OBRA CIVIL;..
AMBOS SEXOS;Cataluña;ELECTRICIDAD Y ELECTRÓNICA;..
AMBOS SEXOS;Cataluña;ENERGÍA Y AGUA;..
AMBOS SEXOS;Cataluña;FABRICACIÓN MECÁNICA;..
AMBOS SEXOS;Cataluña;HOSTELERÍA Y TURISMO;..
AMBOS SEXOS;Cataluña;IMAGEN PERSONAL;..
AMBOS SEXOS;Cataluña;IMAGEN Y SONIDO;..
AMBOS SEXOS;Cataluña;INDUSTRIAS ALIMENTARIAS;..
AMBOS SEXOS;Cataluña;INDUSTRIAS EXTRACTIVAS;..
AMBOS SEXOS;Cataluña;INFORMÁTICA Y COMUNICACIONES;..
AMBOS SEXOS;Cataluña;INSTALACIÓN Y MANTENIMIENTO;..
AMBOS SEXOS;Cataluña;MADERA, MUEBLE Y CORCHO;..
AMBOS SEXOS;Cataluña;MARÍTIMO-PESQUERA;..
AMBOS SEXOS;Cataluña;QUÍMICA;..
AMBOS SEXOS;Cataluña;SANIDAD;..
AMBOS SEXOS;Cataluña;SEGURIDAD Y MEDIO AMBIENTE;..
AMBOS SEXOS;Cataluña;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;..
AMBOS SEXOS;Cataluña;TEXTIL, CONFECCIÓN Y PIEL;..
AMBOS SEXOS;Cataluña;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;..
AMBOS SEXOS;Cataluña;VIDRIO Y CERÁMICA;..
AMBOS SEXOS;Comunitat Valenciana;ACTIVIDADES FÍSICAS Y DEPORTIVAS;86,6
AMBOS SEXOS;Comunitat Valenciana;ADMINISTRACIÓN Y GESTIÓN;81,8
AMBOS SEXOS;Comunitat Valenciana;AGRARIA;79,3
AMBOS SEXOS;Comunitat Valenciana;ARTES GRÁFICAS;82,6
AMBOS SEXOS;Comunitat Valenciana;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Comunitat Valenciana;COMERCIO Y MARKETING;84,1
AMBOS SEXOS;Comunitat Valenciana;EDIFICACIÓN Y OBRA CIVIL;85,0
AMBOS SEXOS;Comunitat Valenciana;ELECTRICIDAD Y ELECTRÓNICA;73,2
AMBOS SEXOS;Comunitat Valenciana;ENERGÍA Y AGUA;74,1
AMBOS SEXOS;Comunitat Valenciana;FABRICACIÓN MECÁNICA;72,5
AMBOS SEXOS;Comunitat Valenciana;HOSTELERÍA Y TURISMO;74,0
AMBOS SEXOS;Comunitat Valenciana;IMAGEN PERSONAL;80,8
AMBOS SEXOS;Comunitat Valenciana;IMAGEN Y SONIDO;78,7
AMBOS SEXOS;Comunitat Valenciana;INDUSTRIAS ALIMENTARIAS;77,8
AMBOS SEXOS;Comunitat Valenciana;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Comunitat Valenciana;INFORMÁTICA Y COMUNICACIONES;82,2
AMBOS SEXOS;Comunitat Valenciana;INSTALACIÓN Y MANTENIMIENTO;70,0
AMBOS SEXOS;Comunitat Valenciana;MADERA, MUEBLE Y CORCHO;72,0
AMBOS SEXOS;Comunitat Valenciana;MARÍTIMO-PESQUERA;84,3
AMBOS SEXOS;Comunitat Valenciana;QUÍMICA;78,2
AMBOS SEXOS;Comunitat Valenciana;SANIDAD;83,2
AMBOS SEXOS;Comunitat Valenciana;SEGURIDAD Y MEDIO AMBIENTE;81,8
AMBOS SEXOS;Comunitat Valenciana;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;86,5
AMBOS SEXOS;Comunitat Valenciana;TEXTIL, CONFECCIÓN Y PIEL;88,2
AMBOS SEXOS;Comunitat Valenciana;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;75,3
AMBOS SEXOS;Comunitat Valenciana;VIDRIO Y CERÁMICA;74,4
AMBOS SEXOS;Extremadura;ACTIVIDADES FÍSICAS Y DEPORTIVAS;84,2
AMBOS SEXOS;Extremadura;ADMINISTRACIÓN Y GESTIÓN;77,7
AMBOS SEXOS;Extremadura;AGRARIA;83,5
AMBOS SEXOS;Extremadura;ARTES GRÁFICAS;92,1
AMBOS SEXOS;Extremadura;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Extremadura;COMERCIO Y MARKETING;84,2
AMBOS SEXOS;Extremadura;EDIFICACIÓN Y OBRA CIVIL;75,0
AMBOS SEXOS;Extremadura;ELECTRICIDAD Y ELECTRÓNICA;71,5
AMBOS SEXOS;Extremadura;ENERGÍA Y AGUA;.
AMBOS SEXOS;Extremadura;FABRICACIÓN MECÁNICA;77,7
AMBOS SEXOS;Extremadura;HOSTELERÍA Y TURISMO;67,1
AMBOS SEXOS;Extremadura;IMAGEN PERSONAL;84,6
AMBOS SEXOS;Extremadura;IMAGEN Y SONIDO;.
AMBOS SEXOS;Extremadura;INDUSTRIAS ALIMENTARIAS;81,6
AMBOS SEXOS;Extremadura;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Extremadura;INFORMÁTICA Y COMUNICACIONES;81,6
AMBOS SEXOS;Extremadura;INSTALACIÓN Y MANTENIMIENTO;71,3
AMBOS SEXOS;Extremadura;MADERA, MUEBLE Y CORCHO;74,7
AMBOS SEXOS;Extremadura;MARÍTIMO-PESQUERA;.
AMBOS SEXOS;Extremadura;QUÍMICA;70,1
AMBOS SEXOS;Extremadura;SANIDAD;86,1
AMBOS SEXOS;Extremadura;SEGURIDAD Y MEDIO AMBIENTE;88,1
AMBOS SEXOS;Extremadura;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;88,6
AMBOS SEXOS;Extremadura;TEXTIL, CONFECCIÓN Y PIEL;.
AMBOS SEXOS;Extremadura;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;68,8
AMBOS SEXOS;Extremadura;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Galicia;ACTIVIDADES FÍSICAS Y DEPORTIVAS;86,3
AMBOS SEXOS;Galicia;ADMINISTRACIÓN Y GESTIÓN;73,4
AMBOS SEXOS;Galicia;AGRARIA;85,6
AMBOS SEXOS;Galicia;ARTES GRÁFICAS;76,9
AMBOS SEXOS;Galicia;ARTES Y ARTESANÍAS;.
AMBOS SEXOS;Galicia;COMERCIO Y MARKETING;84,1
AMBOS SEXOS;Galicia;EDIFICACIÓN Y OBRA CIVIL;72,2
AMBOS SEXOS;Galicia;ELECTRICIDAD Y ELECTRÓNICA;71,8
AMBOS SEXOS;Galicia;ENERGÍA Y AGUA;100,0
AMBOS SEXOS;Galicia;FABRICACIÓN MECÁNICA;70,4
AMBOS SEXOS;Galicia;HOSTELERÍA Y TURISMO;77,5
AMBOS SEXOS;Galicia;IMAGEN PERSONAL;80,5
AMBOS SEXOS;Galicia;IMAGEN Y SONIDO;80,1
AMBOS SEXOS;Galicia;INDUSTRIAS ALIMENTARIAS;80,3
AMBOS SEXOS;Galicia;INDUSTRIAS EXTRACTIVAS;.
AMBOS SEXOS;Galicia;INFORMÁTICA Y COMUNICACIONES;76,2
AMBOS SEXOS;Galicia;INSTALACIÓN Y MANTENIMIENTO;68,7
AMBOS SEXOS;Galicia;MADERA, MUEBLE Y CORCHO;77,1
AMBOS SEXOS;Galicia;MARÍTIMO-PESQUERA;82,5
AMBOS SEXOS;Galicia;QUÍMICA;70,2
AMBOS SEXOS;Galicia;SANIDAD;87,3
AMBOS SEXOS;Galicia;SEGURIDAD Y MEDIO AMBIENTE;.
AMBOS SEXOS;Galicia;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;88,8
AMBOS SEXOS;Galicia;TEXTIL, CONFECCIÓN Y PIEL;88,2
AMBOS SEXOS;Galicia;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;74,5
AMBOS SEXOS;Galicia;VIDRIO Y CERÁMICA;.
AMBOS SEXOS;Comunidad de Madrid;ACTIVIDADES FÍSICAS Y DEPORTIVAS;82,7
AMBOS SEXOS;Comunidad de Madrid;ADMINISTRACIÓN Y GESTIÓN;75,3
AMBOS SEXOS;Comunidad de Madrid;AGRARIA;67,0
AMBOS SEXOS;Comunidad de Madrid;ARTES GRÁFICAS;78,0
